병원명,Latitude,Longitude
의료법인 성념의료재단맑은샘병원,34.8977111,128.643299
의료법인 인화재단 한국병원,36.6196929,127.4966897
국립중앙의료원,37.5680179,127.0062627
제주한라병원,33.4904636,126.4847733
해피뷰병원,35.1586408,126.9067685
경기도의료원파주병원,37.7549717,126.7802526
의료법인 센텀의료재단 센텀종합병원,35.1668272,129.1144148
광주일곡병원,35.2024817,126.8976833
의료법인 정안의료재단 중앙병원,35.5322331,129.3046418
대구굿모닝병원,35.8660999,128.5713724
의료법인 행도의료재단 해동병원,35.0919304,129.0438616
부천우리병원,37.5208661,126.8051969
성남시의료원,37.4449761,127.1390483
삼일병원,35.8325028,128.5535495
의료법인 근원의료재단 경산중앙병원,35.8094460,128.7400855
삼육부산병원,35.1123474,129.0113295
대자인병원,35.8459886,127.1533105
우리들병원,37.5619961,126.7963571
의료법인 박애의료재단 박애병원,36.9930566,127.0890739
강원대학교병원,37.8743405,127.743931
KS병원,35.1979326,126.8331471
의료법인행촌의료재단 해남종합병원,34.5712472,126.6130579
춘해보건대학교병원,35.1469414,129.0583798
한마음병원,33.4962823,126.5462374
울산엘리야병원,35.6288992,129.350583
의료법인 플러스의료재단 단원병원,37.3002235,126.8132683
경기도의료원 수원병원,37.2918999,126.9972759
아산충무병원,36.7792884,127.0199415
의료법인거명의료재단 영광기독병원,35.2751225,126.511124
의료법인목포구암의료재단 목포중앙병원,34.8211344,126.4214194
녹색병원,37.5835575,127.0860539
강일병원,35.2566966,128.8696033
의료법인자인의료재단(더자인병원),37.6231793,126.8353178
씨엠병원,37.5188095,126.90387
한일병원,35.1669567,128.1285404
의료법인풍산의료재단동부제일병원,37.6008803,127.1095442
강원특별자치도속초의료원,38.2160410,128.5878979
의료법인한성재단포항세명기독병원,36.0177719,129.3619094
영남대학교의과대학부속영천병원,35.9573495,128.9133114
온누리병원,37.6030482,126.6543491
의료법인 녹산의료재단동수원병원,37.2781911,127.0350764
전주고려병원,35.8398966,127.1671229
경기도의료원 안성병원,37.0166997,127.2592086
의료법인 동강의료재단 동천동강병원,35.5685453,129.3504736
광주희망병원,35.2134743,126.874738
의료법인 양진의료재단 평택성모병원,37.0084012,127.0743342
의료법인숭인의료재단 김해복음병원,35.2306508,128.8931204
서울적십자병원,37.5669022,126.9673173
목포기독병원,34.8044748,126.4208712
의료법인 송은의료재단 울산시티병원,35.5828109,129.3590124
광양사랑병원,34.9361675,127.6969394
광명성애병원,37.4731251,126.8718433
의료법인 중앙의료재단 중앙병원,33.4923208,126.4704781
의료법인 백제병원,36.1922842,127.0947215
홍익병원,37.5284783,126.8636382
인천기독병원,37.4714123,126.6325382
의료법인 영서의료재단 천안충무병원,36.7974181,127.1314835
의료법인 은성의료재단 좋은삼정병원,35.5527816,129.2691722
충청남도 홍성의료원,36.5988675,126.6745729
의료법인영경의료재단전주병원,35.8153828,127.1246295
의료법인 자산의료재단 제천서울병원,37.1387361,128.2056597
하남성심병원,35.1664856,126.8018892
의료법인현경의료재단 광양서울병원,34.9572779,127.6910424
빛가람종합병원,35.0249849,126.7994769
의료법인 석경의료재단 센트럴병원,37.3366662,126.7284408
구포성심병원,35.2096707,129.0045625
의료법인 거붕 백병원,34.8734112,128.6267805
(의)영문의료재단 다보스병원,37.2315369,127.2113938
의료법인 서명의료재단 세명종합병원,35.8261826,128.7371023
의료법인은성의료재단좋은선린병원,36.0478211,129.3668573
순천의료재단 성남정병원,37.4398522,127.1290007
미래로21병원,35.1411959,126.8856758
강원특별자치도원주의료원,37.3327683,127.9490498
신가병원,35.1774089,126.8296906
의료법인한마음의료재단하나병원,36.6235850,127.4301889
의료법인 광혜의료재단 광혜병원,35.2069676,129.0711372
운암한국병원,35.1854076,126.8701204
명지성모병원,37.4938456,126.8992494
부평세림병원,37.5069572,126.7198463
의료법인 명지의료재단 명지병원,37.1638923,128.2341748
비에이치에스한서병원,35.1607553,129.1133725
의료법인 성수의료재단 인천백병원,37.4813953,126.6456107
순천중앙병원,34.9513313,127.4844588
성남중앙병원,37.4518939,127.1618196
참조은병원,37.4109140,127.2599527
의료법인인봉의료재단뉴고려병원,37.6409547,126.6602216
동아병원,35.1344485,126.8995568
영도병원,35.0922344,129.0405215
제일병원,35.1791344,128.0899538
대청병원,36.3082182,127.3705105
의료법인 예당의료재단 예산종합병원,36.6909998,126.8379891
강남베드로병원,37.4856065,127.0395855
영광종합병원,35.2837702,126.4980762
의료법인 문병욱의료재단 진주고려병원,35.1785024,128.09197
의료법인대인의료재단 다니엘종합병원,37.5123040,126.7694639
베데스다복음병원,35.3533562,129.0440457
현대병원,37.7154359,127.1798911
의료법인한마음의료재단 여수제일병원,34.7659638,127.6635327
동래봉생병원,35.1969037,129.096107
여천전남병원,34.7690240,127.654228
의료법인덕산의료재단김천제일병원,36.1354474,128.1188136
첨단종합병원,35.2211002,126.8452863
광주센트럴병원,35.1859941,126.8298837
의료법인 강릉동인병원,37.7738401,128.9072795
새통영병원,34.8653992,128.4206671
의료법인삼백의료재단상주성모병원,36.4205981,128.1601991
구로성심병원,37.4996407,126.8663493
충청북도 충주의료원,36.9793053,127.9704021
의료법인영성의료재단 고흥종합병원,34.6206564,127.2933912
서울성심병원,37.5843709,127.0497264
의료법인합포의료재단에스엠지연세병원,35.1863060,128.561594
강남병원,37.2736709,127.1114322
나주종합병원,35.0361218,126.7211923
목포한국병원,34.8093754,126.4162703
의료법인갑을의료재단 갑을장유병원,35.2086620,128.8056065
의료법인 동해동인병원,37.5304928,129.1073405
오산한국병원,37.1413385,127.0754934
의료법인칠석의료재단사랑의병원,37.3269215,126.8449233
재단법인 아산사회복지재단 부속 보령아산병원,36.3811932,126.6227291
의료법인 원광의료재단 원광종합병원,37.2100623,127.0080299
광주씨티병원,35.1177125,126.8994931
나사렛종합병원,35.8146994,128.5250884
(의)성세의료재단 뉴성민병원,37.5097892,126.6698626
강남종합병원,35.8830855,128.6634188
의료법인 영제 의료재단 엔케이세종병원,36.4796226,127.262254
대아의료재단한도병원,37.3340463,126.8076099
의료법인청아의료재단청아병원,35.2474551,128.5090718
광주한국병원,35.1561493,126.868743
기쁨병원,37.4827084,127.0180562
의료법인 일심의료재단 포천우리병원,37.8273245,127.1478072
광주병원,35.1788786,126.9281471
의료법인석천재단고창병원,35.4364691,126.6938782
의료법인 청구성심병원,37.6208917,126.9193621
의산의료재단 강릉고려병원,37.7590036,128.8998579
의료법인동신의료재단 동신병원,37.5811720,126.9365798
의료법인 명인의료재단 화홍병원,37.2601237,126.9639031
의료법인한국의료재단 순천한국병원,34.9478419,127.5121674
상무병원,35.1527436,126.8538819
추병원,37.7500092,127.0450695
홍천아산병원,37.6906055,127.8941016
의료법인 온그룹의료재단 온병원,35.1574300,129.0504229
연세에스병원,35.1547257,128.6983293
안성성모병원,37.0057880,127.2706964
